No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1887.09B,32.48,106.84,-3.17%,"285,481,579"
2,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,1535.55B,34.77,200.39,-1.24%,"55,050,420"
3,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1507.03B,113.58,2954.91,-1.79%,"8,855,082"
4,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1014.27B,32.82,1451.09,-2.42%,"3,146,740"
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1002.23B,32.09,1459.99,-2.38%,"3,096,548"
6,BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,746.00B,28.08,272.41,-1.20%,"11,737,563"
7,FB,"Facebook, Inc.",Communication Services,Internet Content & Information,USA,725.94B,32.22,252.53,-0.90%,"28,070,060"
8,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,530.25B,-,218.21,0.07%,"11,832,581"
9,BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,520.89B,23.93,327601.00,0.37%,753
10,V,Visa Inc.,Financial,Credit Services,USA,436.79B,38.53,202.61,-1.30%,"9,077,924"
11,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,397.82B,26.64,80.23,-2.05%,"10,515,903"
12,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,394.56B,1136.63,442.15,4.42%,"85,661,583"
13,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,387.47B,26.76,149.18,1.37%,"12,157,029"
14,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,387.35B,21.56,135.29,-1.02%,"18,199,221"
15,PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,342.37B,27.71,137.37,-0.11%,"10,170,015"
16,MA,Mastercard Incorporated,Financial,Credit Services,USA,339.79B,46.56,335.26,-1.23%,"4,003,790"
17,NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,307.60B,89.40,487.57,-2.20%,"17,412,243"
18,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,301.36B,25.21,275.19,-1.70%,"6,064,905"
